"","Maso","TrungBinh"
"1",1913014,53430
"2",1914807,0
"3",1915540,0
"4",1915541,0
"5",1913186,0
"6",1911591,0
"7",1912190,0
"8",1911704,0
"9",1915329,0
"10",1911186,270
"11",1911186,270
"12",1912041,0
"13",1910666,0
"14",1914003,684660
"15",1914802,270
"16",1914802,270
"17",1914802,270
"18",1915130,0
"19",1915822,0
"20",1913355,0
"21",1914055,0
"22",1913014,53430
"23",1911931,0
"24",1913464,0
"25",1814096,30
"26",1814096,30
"27",1913123,90
"28",1913123,90
"29",1911796,60
"30",1911796,60
"31",1937024,0
"32",1913094,0
"33",1916061,0
"34",1913114,0
"35",1913844,120
"36",1913844,120
"37",1913844,120
"38",1914038,0
"39",1914472,0
"40",1912602,0
"41",1914864,0
"42",1911262,0
"43",1937019,233550
"44",1937019,233550
"45",1937019,233550
"46",1913832,0
"47",1914845,0
"48",1914405,0
"49",1914474,30
"50",1914474,30
"51",1913102,0
"52",1910620,0
"53",1912817,0
"54",1913386,0
"55",1915953,0
"56",1910032,0
"57",1915865,0
"58",1914121,0
"59",1915071,0
"60",1913433,30
"61",1913433,30
"62",1910916,0
"63",1914052,150
"64",1914052,150
"65",1914052,150
"66",1911837,0
"67",1913075,0
"68",1913467,0
"69",1913917,120
"70",1913917,120
"71",1915439,90
"72",1915439,90
"73",1915482,0
"74",1913396,0
"75",1911136,0
"76",1912123,0
"77",1913341,60
"78",1913341,60
"79",1913949,60
"80",1913949,60
"81",1913949,60
"82",1913356,0
"83",1912184,0
"84",1914227,60
"85",1914227,60
"86",1914641,0
"87",1911881,60
"88",1911881,60
"89",1911881,60
"90",1911456,0
"91",1914768,30
"92",1914768,30
"93",1913828,0
"94",1912761,60
"95",1912761,60
"96",1913651,60
"97",1913651,60
"98",1911185,0
"99",1910038,702060
"100",1910076,0
"101",1915905,90
"102",1913418,570
"103",1915905,90
"104",1913418,570
"105",1913418,570
"106",1511191,0
"107",1915903,150
"108",1915903,150
"109",1910409,0
"110",1910101,0
"111",1911044,0
"112",1912980,0
"113",1912715,0
"114",1914093,0
"115",1912811,0
"116",1915323,0
"117",1910238,0
"118",1910298,0
"119",1915939,30
"120",1915939,30
"121",1910402,0
"122",1910865,30
"123",1910865,30
"124",1911561,90
"125",1911561,90
"126",1911561,90
"127",1915268,90
"128",1915268,90
"129",1915268,90
"130",1911520,0
"131",1913268,0
"132",1912371,0
"133",1910113,0
"134",1914054,0
"135",1914738,0
"136",1914697,0
"137",1911478,0
"138",1915473,0
"139",1910644,0
"140",1914084,0
"141",1937019,233550
"142",1913652,0
"143",1910346,0
"144",1912056,60
"145",1912056,60
"146",1912056,60
"147",1913775,60
"148",1913775,60
"149",1913775,60
"150",1812478,0
"151",1915351,0
"152",1913021,0
"153",1913424,60
"154",1914220,0
"155",1913424,60
"156",1913817,60
"157",1913817,60
"158",1936024,30
"159",1936024,30
"160",1914126,0
"161",1914677,0
"162",1910224,0
"163",1911066,0
"164",1913026,0
"165",1913380,0
"166",1913713,0
"167",1910137,0
"168",1911314,0
"169",1915146,0
"170",1911283,0
"171",1914291,0
"172",1911441,0
"173",1915040,30
"174",1915040,30
"175",1913918,90
"176",1913918,90
"177",1913918,90
"178",1911569,0
"179",1927007,150
"180",1927007,150
"181",1927007,150
"182",1914720,30
"183",1914720,30
"184",1915562,407040
"185",1915651,0
"186",1915557,0
"187",1912457,0
"188",1912410,30
"189",1912410,30
"190",1914210,60
"191",1914210,60
"192",1914210,60
"193",1914352,60
"194",1914352,60
"195",1912523,0
"196",1913729,0
"197",1912916,120
"198",1912916,120
"199",1912916,120
"200",1912288,0
"201",1914704,90
"202",1914704,90
"203",1912676,30
"204",1912676,30
"205",1910110,0
"206",1914384,30
"207",1914384,30
"208",1913566,0
"209",1912522,0
"210",1911650,0
"211",1910339,154260
"212",1910565,0
"213",1813096,60
"214",1813096,60
"215",1914659,0
"216",1915076,0
"217",1912594,0
"218",1912749,0
"219",1915251,0
"220",1912912,0
"221",1913261,0
"222",1911207,0
"223",1913048,1200
"224",1913241,0
"225",1910351,510
"226",1912579,606300
"227",1910351,510
"228",1913048,1200
"229",1910643,0
"230",1910094,0
"231",1912966,120
"232",1914316,0
"233",1912966,120
"234",1914022,0
"235",1911363,60
"236",1911363,60
"237",1912539,0
"238",1915442,0
"239",1910892,0
"240",1913254,0
"241",1914003,684660
"242",1914979,120
"243",1914979,120
"244",1914979,120
"245",1913599,0
"246",1912683,0
"247",1913609,90
"248",1913609,90
"249",1913609,90
"250",1911900,150
"251",1911900,150
"252",1915275,0
"253",1910339,154260
"254",1914914,0
"255",1912700,30
"256",1912700,30
"257",1910123,0
"258",1915083,30
"259",1915083,30
"260",1911000,0
"261",1915919,60
"262",1915919,60
"263",1913032,210
"264",1913032,210
"265",1915882,30
"266",1915882,30
"267",1915562,407040
"268",1914674,60
"269",1914674,60
"270",1910473,0
"271",1914806,0
"272",1915598,60
"273",1915598,60
"274",1910202,0
"275",1913306,90
"276",1913306,90
"277",1913758,0
"278",1910650,60
"279",1910650,60
"280",1916022,30
"281",1916022,30
"282",1914763,0
"283",1914881,0
"284",1912084,0
"285",1910276,120
"286",1910276,120
"287",1911056,0
"288",1915294,0
"289",1912798,0
"290",1913621,0
"291",1915350,60
"292",1915350,60
"293",1914880,0
"294",1915991,0
"295",1613010,30
"296",1613010,30
"297",1915470,60
"298",1915470,60
"299",1912463,0
"300",1915795,0
"301",1913334,0
"302",1812257,0
"303",1912267,0
"304",1913764,0
"305",1912237,120
"306",1911058,0
"307",1912237,120
"308",1915378,30
"309",1915378,30
"310",1910038,702060
"311",1914424,0
"312",1915982,0
"313",1911841,0
"314",1913756,60
"315",1913756,60
"316",1911217,0
"317",1914047,60
"318",1914047,60
"319",1814611,0
"320",1912046,60
"321",1912046,60
"322",1911105,120
"323",1911105,120
"324",1913944,30
"325",1913944,30
"326",1915940,60
"327",1915940,60
"328",1913228,0
"329",1915520,0
"330",1915486,0
"331",1911907,0
"332",1911907,0
"333",1812477,60
"334",1812477,60
"335",1937064,0
"336",1911878,0
"337",1914878,0
"338",1913763,0
"339",1914698,0
"340",1912675,0
"341",1913218,0
"342",1915656,0
"343",1914310,0
"344",1913336,0
"345",1914900,0
"346",1915988,0
"347",1915016,0
"348",1915063,0
"349",1915570,90
"350",1915570,90
"351",1915570,90
"352",1915745,0
"353",1915474,0
"354",1913695,0
"355",1914079,0
"356",1914064,0
"357",1913354,0
"358",1910347,0
"359",1910984,0
"360",1912954,90
"361",1912954,90
"362",1912386,30
"363",1911015,0
"364",1912386,30
"365",1915928,90
"366",1915928,90
"367",1912579,606300
"368",1915775,351240
"369",1915775,351240
"370",1913260,0
"371",1914078,0
"372",1912958,0
"373",1814518,0
"374",1915551,0
"375",1912677,0
"376",1911736,0
"377",1852443,0
"378",1911296,0
"379",1914011,0
"380",1910198,0
"381",1911565,0
"382",1913629,0
"383",1914830,0
"384",1910006,60
"385",1915787,0
"386",1910006,60
"387",1913430,0
"388",1913045,90
"389",1913045,90
"390",1914477,0
"391",1915775,351240
"392",1911594,0
"393",1813528,0
"394",1913560,210
"395",1913560,210
"396",1915161,0
"397",1914713,30
"398",1914713,30
"399",1914651,0
"400",1820028,0
"401",1914685,30
"402",1914685,30
"403",1913990,330
"404",1913990,330
"405",1910265,0
"406",1913990,330
"407",1913678,0
"408",1914661,120
"409",1914661,120
"410",1915667,0
"411",1912705,0
"412",1915983,60
"413",1915983,60
"414",1915983,60
"415",1915866,0
"416",1914232,0
"417",1911530,0
"418",1911110,240
"419",1911110,240
"420",1911110,240
"421",1911975,150
"422",1911975,150
"423",1913446,0
"424",1913419,0
"425",1911285,0
"426",1813681,0
"427",1912526,0
"428",1910060,0
"429",1915650,0
"430",1910663,0
"431",1913167,0
"432",1912713,0
"433",1912384,0
"434",1910735,0
"435",1913457,0
"436",1915931,0
"437",1910563,0
"438",1913040,0
